Algorithm,TestMode,N,Runtime(ms),FillRatio,Height
BL_Online,Identical Rectangles,1000,99.6667,0.8982,2505
NFDH,Uniform Distribution,1000,0.1000,0.8921,2685
FFDH,Uniform Distribution,1000,0.2100,0.9939,2410
BFDH,Uniform Distribution,1000,0.2400,0.9939,2410
BL,Uniform Distribution,1000,164.3333,0.9060,2644
BL_Online,Uniform Distribution,1000,220.6667,0.8355,2867
NFDH,High Std Normal Distribution,1000,0.0900,0.8954,2551
FFDH,High Std Normal Distribution,1000,0.1900,0.9871,2314
BFDH,High Std Normal Distribution,1000,0.2900,0.9871,2314
BL,High Std Normal Distribution,1000,167.0000,0.8898,2567
BL_Online,High Std Normal Distribution,1000,211.0000,0.8309,2749
NFDH,Identical Rectangles,1500,3.4200,0.9000,3750
FFDH,Identical Rectangles,1500,3.7200,0.9000,3750
BFDH,Identical Rectangles,1500,3.8300,0.9000,3750
BL,Identical Rectangles,1500,217.6667,0.9000,3750
BL_Online,Identical Rectangles,1500,218.3333,0.9000,3750
NFDH,Uniform Distribution,1500,0.1600,0.8888,4032
FFDH,Uniform Distribution,1500,0.4500,0.9955,3600
BFDH,Uniform Distribution,1500,0.4600,0.9955,3600
BL,Uniform Distribution,1500,379.6667,0.8968,3996
BL_Online,Uniform Distribution,1500,542.6667,0.8379,4277
NFDH,High Std Normal Distribution,1500,0.1800,0.8964,3914
FFDH,High Std Normal Distribution,1500,0.4200,0.9930,3533
BFDH,High Std Normal Distribution,1500,0.4600,0.9930,3533
BL,High Std Normal Distribution,1500,383.6667,0.9031,3885
BL_Online,High Std Normal Distribution,1500,555.0000,0.8304,4225
NFDH,Identical Rectangles,2000,6.6500,0.8982,5010
FFDH,Identical Rectangles,2000,6.9200,0.8982,5010
BFDH,Identical Rectangles,2000,7.4400,0.8982,5010
BL,Identical Rectangles,2000,408.0000,0.8982,5010
BL_Online,Identical Rectangles,2000,421.6667,0.8982,5010
NFDH,Uniform Distribution,2000,0.2500,0.8965,5359
FFDH,Uniform Distribution,2000,0.6600,0.9973,4817
BFDH,Uniform Distribution,2000,0.7600,0.9973,4817
BL,Uniform Distribution,2000,661.0000,0.8948,5369
BL_Online,Uniform Distribution,2000,1002.6667,0.8436,5695
NFDH,High Std Normal Distribution,2000,0.2600,0.8991,5232
FFDH,High Std Normal Distribution,2000,0.6300,0.9949,4728
BFDH,High Std Normal Distribution,2000,0.7800,0.9949,4728
BL,High Std Normal Distribution,2000,691.3333,0.8972,5243
BL_Online,High Std Normal Distribution,2000,987.6667,0.8361,5626
NFDH,Identical Rectangles,2500,9.5100,0.8993,6255
FFDH,Identical Rectangles,2500,10.8000,0.8993,6255
BFDH,Identical Rectangles,2500,10.4300,0.8993,6255
BL,Identical Rectangles,2500,618.0000,0.8993,6255
BL_Online,Identical Rectangles,2500,607.3333,0.8993,6255
NFDH,Uniform Distribution,2500,0.3000,0.8990,6749
FFDH,Uniform Distribution,2500,0.8400,0.9973,6084
BFDH,Uniform Distribution,2500,0.9600,0.9973,6084
BL,Uniform Distribution,2500,979.3333,0.8938,6788
BL_Online,Uniform Distribution,2500,1633.0000,0.8358,7259
NFDH,High Std Normal Distribution,2500,0.2900,0.8927,6626
FFDH,High Std Normal Distribution,2500,0.8500,0.9961,5938
BFDH,High Std Normal Distribution,2500,0.9900,0.9961,5938
BL,High Std Normal Distribution,2500,1041.6667,0.9028,6552
BL_Online,High Std Normal Distribution,2500,1616.6667,0.8280,7144
NFDH,Identical Rectangles,3000,13.6300,0.9000,7500
FFDH,Identical Rectangles,3000,14.7800,0.9000,7500
BFDH,Identical Rectangles,3000,15.0400,0.9000,7500
BL,Identical Rectangles,3000,875.6667,0.9000,7500
BL_Online,Identical Rectangles,3000,883.0000,0.9000,7500
NFDH,Uniform Distribution,3000,0.4100,0.8971,7937
FFDH,Uniform Distribution,3000,1.1800,0.9978,7136
BFDH,Uniform Distribution,3000,1.4800,0.9978,7136
BL,Uniform Distribution,3000,1382.3333,0.8980,7929
BL_Online,Uniform Distribution,3000,2513.3333,0.8346,8532
NFDH,High Std Normal Distribution,3000,0.4000,0.8933,7863
FFDH,High Std Normal Distribution,3000,1.3400,0.9965,7049
BFDH,High Std Normal Distribution,3000,1.3000,0.9965,7049
BL,High Std Normal Distribution,3000,1499.3333,0.8993,7811
BL_Online,High Std Normal Distribution,3000,2479.6667,0.8322,8441
NFDH,Identical Rectangles,4000,24.4400,0.8996,10005
FFDH,Identical Rectangles,4000,26.5500,0.8996,10005
BFDH,Identical Rectangles,4000,26.1700,0.8996,10005
BL,Identical Rectangles,4000,1549.0000,0.8996,10005
BL_Online,Identical Rectangles,4000,1539.3333,0.8996,10005
NFDH,Uniform Distribution,4000,0.5300,0.8968,10678
FFDH,Uniform Distribution,4000,1.8400,0.9986,9590
BFDH,Uniform Distribution,4000,2.0200,0.9986,9590
BL,Uniform Distribution,4000,2395.3333,0.8975,10670
BL_Online,Uniform Distribution,4000,4783.3333,0.8318,11512
NFDH,High Std Normal Distribution,4000,0.5300,0.8985,10618
FFDH,High Std Normal Distribution,4000,1.9000,0.9969,9570
BFDH,High Std Normal Distribution,4000,2.2400,0.9969,9570
BL,High Std Normal Distribution,4000,2604.3333,0.8931,10682
BL_Online,High Std Normal Distribution,4000,4758.0000,0.8299,11496
NFDH,Identical Rectangles,5000,38.5000,0.8993,12510
FFDH,Identical Rectangles,5000,40.1700,0.8993,12510
BFDH,Identical Rectangles,5000,41.2500,0.8993,12510
BL,Identical Rectangles,5000,2417.3333,0.8993,12510
BL_Online,Identical Rectangles,5000,4399.0000,0.8993,12510
NFDH,Uniform Distribution,5000,0.9600,0.8978,13256
FFDH,Uniform Distribution,5000,6.0000,0.9987,11917
BFDH,Uniform Distribution,5000,6.4800,0.9987,11917
BL,Uniform Distribution,5000,5542.6667,0.8989,13240
BL_Online,Uniform Distribution,5000,9059.0000,0.8365,14227
NFDH,High Std Normal Distribution,5000,0.8800,0.9009,12982
FFDH,High Std Normal Distribution,5000,5.4700,0.9979,11720
BFDH,High Std Normal Distribution,5000,5.9500,0.9979,11720
BL,High Std Normal Distribution,5000,5765.0000,0.9014,12974
BL_Online,High Std Normal Distribution,5000,9203.6667,0.8325,14048
NFDH,Identical Rectangles,6000,52.7200,0.9000,15000
FFDH,Identical Rectangles,6000,58.4700,0.9000,15000
BFDH,Identical Rectangles,6000,62.2600,0.9000,15000
BL,Identical Rectangles,6000,3619.0000,0.9000,15000
BL_Online,Identical Rectangles,6000,3541.3333,0.9000,15000
NFDH,Uniform Distribution,6000,0.8300,0.8987,16071
FFDH,Uniform Distribution,6000,3.7700,0.9989,14459
BFDH,Uniform Distribution,6000,4.0300,0.9989,14459
BL,Uniform Distribution,6000,5303.3333,0.8965,16110
BL_Online,Uniform Distribution,6000,11764.3333,0.8405,17184
NFDH,High Std Normal Distribution,6000,0.7600,0.8957,15620
FFDH,High Std Normal Distribution,6000,3.5200,0.9980,14018
BFDH,High Std Normal Distribution,6000,3.9700,0.9980,14018
